TIME;TEMPERATURE;VOLUME;HEATING
0;32,99;500;ON
0,8035208;33,1;500;ON
1,6018155;33,06;500;ON
2,349793;33,03;500;ON
3,141833;33;500;ON
3,9071135;33,08;500;ON
4,6712723;33,06;500;ON
5,4449811;33,05;500;ON
6,2256734;33,07;500;ON
7,0043735;33,02;500;ON
7,8089885;33,07;500;ON
8,6048456;33,03;500;ON
9,3769444;33,02;500;ON
10,1804901;33,05;500;ON
10,9543225;32,95;500;ON
11,7295002;33,05;500;ON
12,5112028;33,05;500;ON
13,2646688;33,06;500;ON
14,0376716;32,95;500;ON
14,803853;33,01;500;ON
15,5511735;33,01;500;ON
16,324239;32,97;500;ON
17,1117987;33,03;500;ON
17,8728397;33,07;500;ON
18,6291199;33,2;500;ON
19,4333894;33,36;500;ON
20,1853417;33,57;500;ON
20,9559106;33,67;500;ON
21,7341569;33,79;500;ON
22,5145036;34,03;500;ON
23,3044436;34,24;500;ON
24,0547787;34,4;500;ON
24,8420903;34,68;500;ON
25,5989923;34,96;500;ON
26,3454134;35,32;500;ON
27,1185627;35,74;500;ON
27,9014793;36,11;500;ON
28,6918032;36,5;500;ON
29,4554394;36,8;500;ON
30,2639661;37,04;500;ON
31,0368738;37,36;500;ON
31,7977702;37,68;500;ON
32,5604326;37,96;500;ON
33,3409927;38,09;500;ON
34,1002036;38,38;500;ON
34,8776784;38,51;500;ON
35,6661625;38,81;500;ON
36,4570222;39,05;500;ON
37,2268371;39,36;500;ON
37,9784605;39,71;500;ON
38,7849789;39,96;500;ON
39,5740701;40,28;500;ON
40,3606612;40,62;500;ON
41,1245194;40,95;500;ON
41,9122883;41,11;500;ON
42,6883808;41,35;500;ON
43,4787199;41,57;500;ON
44,2703911;41,82;500;ON
45,0359619;42,12;500;ON
45,8220913;42,54;500;ON
46,5897631;42,94;500;ON
47,3749066;43,25;500;ON
48,1345506;43,66;500;ON
48,8968875;44;500;ON
49,6636689;44,42;500;ON
50,4490786;44,71;500;ON
51,2177049;45;500;ON
52,028123;45,28;500;ON
52,8084169;45,63;500;ON
53,5548746;45,78;500;ON
54,3388427;46,04;500;ON
55,119194;46,31;500;ON
55,9011191;46,63;500;ON
56,6758161;46,76;500;ON
57,4447032;46,84;500;ON
58,2396031;46,94;500;ON
59,0116884;47,17;500;ON
59,8306137;47,49;500;ON
60,6046375;47,79;500;ON
61,3462546;48,02;500;ON
62,1217374;48,06;500;ON
62,916729;47,96;500;ON
63,6683109;47,85;500;ON
64,4759148;48;500;ON
65,2922115;48,26;500;ON
66,0738337;48,61;500;ON
66,8629373;48,91;500;ON
67,6362996;49,22;500;ON
68,4021544;49,37;500;ON
69,2120431;49,53;500;ON
69,9733314;49,51;500;ON
70,7688075;49,6;500;ON
71,5428905;49,6;500;ON
72,3199067;49,85;500;ON
73,0962888;50,08;500;ON
73,8774923;50,56;500;ON
74,6326491;50,89;500;ON
75,4274614;50,76;500;ON
76,2220679;50,35;500;ON
77,0263812;50,13;500;ON
77,8273884;49,97;500;ON
78,6135001;49,57;500;ON
79,4123661;49,39;500;ON
80,1670747;49,71;500;ON
80,94201;50,37;500;ON
81,6934887;51,03;500;ON
82,5141559;51,41;500;ON
83,2932555;52;500;ON
84,0993971;52,22;500;ON
84,8864051;51,72;500;ON
85,6569842;51,16;500;ON
86,4640879;51,25;500;ON
87,2710186;52,25;500;ON
88,0422755;53,38;500;ON
88,7999304;53,65;500;ON
89,582003;53,57;500;ON
90,3515547;54,14;500;ON
91,1248011;55,3;500;ON
91,9277381;56,3;500;ON
92,7450493;57,09;500;ON
93,5181265;57,64;500;ON
94,2888359;57,93;500;ON
95,0365351;57,12;500;ON
95,7990415;56,84;500;ON
96,5544351;56,55;500;ON
97,3571792;55,92;500;ON
98,1372779;55,88;500;ON
98,9200064;56,77;500;ON
99,7094661;57,93;500;ON
100,4924438;58,71;500;ON
101,2612306;59,03;500;ON
102,061986;59,38;500;ON
102,8640806;59,88;500;ON
103,6657649;60,32;500;ON
104,432265;60,39;500;ON
105,2254925;60,55;500;ON
106,0130273;60,86;500;ON
106,805548;61,25;500;ON
107,5726926;61,25;500;ON
108,3597271;61,21;500;ON
109,1499049;61,48;500;ON
109,9648578;62,02;500;ON
110,7501463;62,26;500;ON
111,5434501;62,42;500;ON
