TIME;TEMPERATURE;VOLUME;HEATING
0;33,15;1000;ON
0,7820809;33,14;1000;ON
1,5210478;33,07;1000;ON
2,2760521;33,06;1000;ON
3,0069962;33,1;1000;ON
3,7770455;33,14;1000;ON
4,5461151;33,07;1000;ON
5,2960854;33,03;1000;ON
6,0270272;33,08;1000;ON
6,7750481;33,06;1000;ON
7,5019502;32,99;1000;ON
8,2389095;33;1000;ON
8,9658738;32,98;1000;ON
9,7218549;33,03;1000;ON
10,488893;33,03;1000;ON
11,2248502;33,02;1000;ON
11,9728409;32,92;1000;ON
12,7449239;32,98;1000;ON
13,4758374;32,94;1000;ON
14,2037725;32,95;1000;ON
14,9327116;32,9;1000;ON
15,6606471;32,85;1000;ON
16,410642;33,02;1000;ON
17,1435925;32,93;1000;ON
17,894619;32,92;1000;ON
18,6435816;32,98;1000;ON
19,3735473;32,9;1000;ON
20,1044649;32,9;1000;ON
20,8554619;32,89;1000;ON
21,6094671;32,98;1000;ON
22,3474296;32,89;1000;ON
23,0773973;32,96;1000;ON
23,8454228;32,92;1000;ON
24,5743528;32,89;1000;ON
25,3233438;33;1000;ON
26,0522825;33,03;1000;ON
26,8052852;33,25;1000;ON
27,5723245;33,41;1000;ON
28,3052754;33,63;1000;ON
29,0322348;33,87;1000;ON
29,7812;34;1000;ON
30,5091348;34,1;1000;ON
31,2842226;34,14;1000;ON
32,0341914;34,14;1000;ON
32,7631687;34,17;1000;ON
33,4930763;34,27;1000;ON
34,2390612;34,43;1000;ON
34,9900885;34,48;1000;ON
35,7210027;34,57;1000;ON
36,4890448;34,85;1000;ON
37,2380671;35,02;1000;ON
37,9900677;35,21;1000;ON
38,7199775;35,39;1000;ON
39,4479138;35,66;1000;ON
40,1788911;35,9;1000;ON
40,9328687;36,1;1000;ON
41,6718337;36,33;1000;ON
42,4253378;36,58;1000;ON
43,1612954;36,67;1000;ON
43,9293693;36,84;1000;ON
44,660282;36,97;1000;ON
45,4313323;37,14;1000;ON
46,1623081;37,36;1000;ON
46,9303196;37,53;1000;ON
47,6582566;37,53;1000;ON
48,4072464;37,56;1000;ON
49,1512249;37,6;1000;ON
49,8801731;37,77;1000;ON
50,6221369;38,09;1000;ON
51,3510756;38,21;1000;ON
52,0900413;38,46;1000;ON
52,8560778;38,68;1000;ON
53,6261256;38,9;1000;ON
54,3550647;38,95;1000;ON
55,0860084;39,04;1000;ON
55,8129433;39,11;1000;ON
56,5589256;39,29;1000;ON
57,2888974;39,43;1000;ON
58,0198147;39,46;1000;ON
58,7507542;39,53;1000;ON
59,4827298;39,78;1000;ON
60,2336985;39,95;1000;ON
60,9636408;40,11;1000;ON
61,7326858;40,42;1000;ON
62,4606205;40,56;1000;ON
63,1905625;40,61;1000;ON
63,9445665;40,73;1000;ON
64,6965668;40,8;1000;ON
65,4455577;40,9;1000;ON
66,1825196;40,95;1000;ON
66,9114576;41,21;1000;ON
67,6413984;41,4;1000;ON
68,3743527;41,53;1000;ON
69,1253437;41,64;1000;ON
69,8723383;41,71;1000;ON
70,6203207;41,96;1000;ON
71,368433;42,24;1000;ON
72,1184026;42,49;1000;ON
72,8874778;42,61;1000;ON
73,6327182;42,75;1000;ON
74,3626579;42,76;1000;ON
75,0905952;42,87;1000;ON
75,8235446;43,12;1000;ON
76,5675216;43,25;1000;ON
77,3155127;43,42;1000;ON
78,0635012;43,53;1000;ON
78,8145023;43,7;1000;ON
79,5474506;43,93;1000;ON
80,2934359;43,98;1000;ON
81,0283903;44,1;1000;ON
81,7653507;44,24;1000;ON
82,498299;44,31;1000;ON
83,2453113;44,35;1000;ON
83,9742251;44,35;1000;ON
84,7091787;44,32;1000;ON
85,4561662;44,21;1000;ON
86,1891397;44,14;1000;ON
86,9371029;44,31;1000;ON
87,6780774;44,28;1000;ON
88,4330816;44,42;1000;ON
89,1810705;44,46;1000;ON
89,9120428;44,63;1000;ON
90,6850713;44,87;1000;ON
91,4350647;45,14;1000;ON
92,188067;45,43;1000;ON
92,9400673;45,46;1000;ON
93,691065;45,64;1000;ON
94,4400846;45,8;1000;ON
95,2091017;45,96;1000;ON
95,9360351;46,2;1000;ON
96,6689848;46,32;1000;ON
97,3989249;46,38;1000;ON
98,1278644;46,51;1000;ON
98,880866;46,71;1000;ON
99,6298584;46,84;1000;ON
100,3648123;46,9;1000;ON
101,0987646;47,03;1000;ON
101,8277056;47,17;1000;ON
102,5797032;47,31;1000;ON
103,3297264;47,32;1000;ON
104,076684;47,42;1000;ON
104,8186584;47,46;1000;ON
105,5516757;47,57;1000;ON
106,2826186;47,74;1000;ON
107,0514763;47,96;1000;ON
107,7912966;48,08;1000;ON
108,5603401;48,19;1000;ON
109,2902828;48,32;1000;ON
110,0372993;48,34;1000;ON
110,787264;48,57;1000;ON
111,5193627;48,7;1000;ON
112,2703967;48,98;1000;ON
113,0253447;49,2;1000;ON
113,7613004;49,44;1000;ON
114,4902391;49,61;1000;ON
115,2522656;49,63;1000;ON
116,0143273;49,88;1000;ON
116,7512545;49,89;1000;ON
117,5131609;49,95;1000;ON
118,2551032;50,02;1000;ON
118,9990824;50,05;1000;ON
119,7641175;50,26;1000;OFF
120,5311572;50,42;1000;OFF
121,2811819;50,75;1000;OFF
122,0471874;50,96;1000;OFF
122,8102171;51,08;1000;OFF
123,6073632;51,17;1000;OFF
124,3603425;51,35;1000;OFF
125,1298357;51,57;1000;OFF
125,8922123;51,71;1000;OFF
126,6402283;51,95;1000;OFF
127,3912279;52,26;1000;OFF
128,1592399;52,26;1000;OFF
128,9413212;52,42;1000;OFF
129,7073837;52,56;1000;OFF
130,4613938;52,55;1000;OFF
131,2474783;52,6;1000;OFF
132,0175318;52,44;1000;OFF
132,7876034;52,07;1000;OFF
133,549576;51,75;1000;OFF
134,3376718;51,34;1000;OFF
135,0866639;51,09;1000;OFF
135,8316743;50,85;1000;OFF
136,5806649;50,81;1000;OFF
137,3216375;50,81;1000;OFF
138,0806532;50,78;1000;OFF
138,831649;50,92;1000;OFF
139,5615623;51,04;1000;OFF
140,3386573;51,29;1000;OFF
141,0668141;51,3;1000;OFF
141,8158069;51,4;1000;OFF
142,5667725;51,52;1000;OFF
143,3197756;51,62;1000;OFF
144,0667612;51,76;1000;OFF
144,8187622;51,89;1000;OFF
145,5717657;51,93;1000;OFF
146,3117633;52,09;1000;OFF
147,0446829;52,21;1000;OFF
147,7806397;52,23;1000;OFF
148,5114331;52,42;1000;OFF
149,2444142;52,42;1000;OFF
149,9918064;52,46;1000;OFF
150,7207595;52,36;1000;OFF
151,468279;52,26;1000;OFF
152,2202804;52,1;1000;OFF
152,9783264;51,89;1000;OFF
153,734292;51,63;1000;OFF
154,4893008;51,35;1000;OFF
